Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_name,Route_link
MMK Travels,A/C Seater / Sleeper (2+1),22:30,07:30,09h 00m,700,14 Seats available,"4.6
559",Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
Silver Line Travels,Non A/C Seater / Sleeper (2+1),22:15,06:45,08h 30m,750,28 Seats available,4.3,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
P K Travels,A/C Sleeper (2+1),18:45,06:30,11h 45m,900,18 Seats available,"4.1
110",Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
AdMMK Travels,A/C Sleeper (2+1),23:00,07:30,08h 30m,850,8 Seats available,"4.3
29",Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
P K Travels,A/C Seater / Sleeper (2+1),21:30,06:00,08h 30m,720,30 Seats available,"4.3
66",Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
SAAM BUS,A/C Seater / Sleeper (2+1),21:45,05:50,08h 05m,648,21 Seats available,4.1,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
SKS Tours & Travels,A/C Sleeper (2+1),21:15,05:45,08h 30m,799,14 Seats available,"4.3
102",Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
AdDA Transports,A/C Sleeper (2+1),21:45,06:55,09h 10m,749,15 Seats available,"3.9
243",Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
NS Transports,Non A/C Seater / Sleeper (2+1),21:45,06:10,08h 25m,649,7 Seats available,"4.2
275",Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
Kyros Connect,Bharat Benz A/C Semi Sleeper (2+2),23:00,09:00,10h 00m,599,30 Seats available,"4.1
345",Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
A1 Travels,A/C Seater / Sleeper (2+1),20:05,23:59,03h 54m,600,15 Seats available,"3.3
145",Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
A1 Travels,NON A/C Semi Sleeper (2+2),21:00,01:30,04h 30m,450,23 Seats available,"4.0
45",Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
Galaxy Tours,A/C Semi Sleeper (2+2),21:45,02:01,04h 16m,600,7 Seats available,"5.0
5",Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
Madhavi Travels,A/C Sleeper (2+1),22:20,02:35,04h 15m,949,5 Seats available,4.0,Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
A1 Travels,Bharat Benz A/C Seater /Sleeper (2+1),22:30,01:29,02h 59m,700,22 Seats available,"3.3
32",Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
LIYAS TOURS,Bharat Benz A/C Sleeper (2+1),23:05,03:15,04h 10m,799,13 Seats available,"3.8
6",Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
Madhavi Travels,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),23:30,03:10,03h 40m,759,17 Seats available,4.0,Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
