Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_name,Route_link
Bharathi Tours & Travels,Non A/C Seater / Sleeper (2+1),23:40,04:00,04h 20m,404,8 Seats available,"4.5
12",Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
Sri Venkateswara Travels,Non A/C Seater / Sleeper (2+1),23:45,06:00,06h 15m,400,10 Seats available,"3.5
11",Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
RRR Travels,A/C Sleeper (2+1),23:50,05:30,05h 40m,648,19 Seats available,"4.7
38",Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
Sri KVR Travels,A/C Seater / Sleeper (2+1),23:58,05:00,05h 02m,410,12 Seats available,3.6,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
SAIRAJ TRAVELS,A/C Sleeper (2+1),23:59,05:30,05h 31m,600,12 Seats available,"5.0
5",Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
Nani’s Sai Krishna Travels,Non A/C Seater / Sleeper (2+1),23:59,05:00,05h 01m,400,10 Seats available,"3.6
12",Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
BSR Tours And Travels,A/C Sleeper (2+1),23:59,06:00,06h 01m,680,14 Seats available,"4.6
10",Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
Sri Krishna Travels(VGN),Non A/C Seater / Sleeper (2+1),23:59,06:10,06h 11m,500,21 Seats available,"3.1
7",Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
Bharathi Tours & Travels,Non A/C Seater / Sleeper (2+1),23:59,05:00,05h 01m,404,7 Seats available,4.5,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
Bharathi Tours & Travels,A/C Sleeper (2+1),23:59,05:00,05h 01m,590,12 Seats available,4.5,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
TGSRTC - 64363,Super Luxury (Non AC Seater 2+2 Push Back),18:20,22:20,04h 00m,320,26 Seats available,"3.3
14",Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam
TGSRTC - 8682,Rajdhani (AC Semi Sleeper 2+2),18:30,22:00,03h 30m,389,29 Seats available,"3.9
38",Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam
TGSRTC - 8618,Super Luxury (Non AC Seater 2+2 Push Back),18:40,23:00,04h 20m,320,26 Seats available,"4.4
22",Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam
TGSRTC - 7645,Super Luxury (Non AC Seater 2+2 Push Back),19:30,01:45,06h 15m,320,31 Seats available,"1.6
14",Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam
TGSRTC - 64021,Rajdhani (AC Semi Sleeper 2+2),19:30,23:00,03h 30m,389,33 Seats available,"4.3
57",Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam
TGSRTC - 8601,Super Luxury (Non AC Seater 2+2 Push Back),19:40,23:45,04h 05m,320,29 Seats available,"2.8
13",Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam
TGSRTC - 8804,RAJDHANI (A.C. Semi Sleeper),20:35,02:20,05h 45m,389,27 Seats available,"4.3
26",Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam
TGSRTC - 64341,Super Luxury (Non AC Seater 2+2 Push Back),20:50,03:10,06h 20m,320,17 Seats available,"4.3
9",Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam
TGSRTC - 8825,Super Luxury (Non AC Seater 2+2 Push Back),21:00,02:40,05h 40m,320,22 Seats available,"3.6
15",Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam
TGSRTC - 8699,RAJDHANI (A.C. Semi Sleeper),21:00,01:00,04h 00m,389,36 Seats available,"4.1
43",Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam
TGSRTC - 8856,RAJDHANI (A.C. Semi Sleeper),21:00,03:00,06h 00m,389,17 Seats available,"4.3
19",Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam
TGSRTC - 8848,Super Luxury (Non AC Seater 2+2 Push Back),21:20,02:55,05h 35m,320,16 Seats available,"4.6
15",Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam
TGSRTC - 8624,Rajdhani (AC Semi Sleeper 2+2),21:30,01:30,04h 00m,389,31 Seats available,"3.1
4",Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam
TGSRTC - 8886,Lahari Non A/C Sleeper Cum Seater,21:30,03:15,05h 45m,320,7 Seats available,"3.2
29",Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam
TGSRTC - 8971,Super Luxury (Non AC Seater 2+2 Push Back),22:00,04:10,06h 10m,320,19 Seats available,"3.7
26",Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam
Siri Tours and Travels,A/C Seater / Sleeper (2+1),18:30,00:30,06h 00m,555,20 Seats available,"3.0
7",Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam
