Route_name,Route_link
Hospet to Goa,https://www.redbus.in/bus-tickets/hospet-to-goa
Hubli to Goa,https://www.redbus.in/bus-tickets/hubli-to-goa
Hospet to Chennai,https://www.redbus.in/bus-tickets/hospet-to-chennai
Goa to Hampi,https://www.redbus.in/bus-tickets/goa-to-hampi
Goa to Hospet,https://www.redbus.in/bus-tickets/goa-to-hospet
Goa to Ballari,https://www.redbus.in/bus-tickets/goa-to-bellary
Podili to Ballari,https://www.redbus.in/bus-tickets/podili-to-bellary
Ballari to Goa,https://www.redbus.in/bus-tickets/bellary-to-goa
Hampi to Goa,https://www.redbus.in/bus-tickets/hampi-to-goa
Koppal to Goa,https://www.redbus.in/bus-tickets/koppal-to-goa
Kadiri to Chennai,https://www.redbus.in/bus-tickets/kadiri-to-chennai
Kanchipuram to Anantapur (andhra pradesh),https://www.redbus.in/bus-tickets/kanchipuram-to-ananthapur
